JJ,NNP,VBD,CD,NNS,VBG,VB,NN,VBN,IN,MD,RB,WP$,VBZ,NNPS,RP,JJS,VBP,JJR,FW,RBR,CC,DT,UH,PRP,WDT,PDT,LS,``,WRB,RBS,WP,$,PRP$,SYM,sentence_count,word_count
2.0,10.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29
36.0,66.0,6.0,1.0,26.0,5.0,12.0,87.0,14.0,6.0,2.0,7.0,0.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,532
49.0,57.0,7.0,0.0,39.0,16.0,19.0,92.0,12.0,6.0,5.0,18.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26,595
53.0,77.0,7.0,4.0,59.0,34.0,16.0,116.0,9.0,5.0,3.0,22.0,0.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,728
46.0,47.0,11.0,2.0,67.0,22.0,10.0,132.0,14.0,6.0,3.0,9.0,0.0,3.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,653
70.0,134.0,10.0,8.0,41.0,20.0,29.0,133.0,22.0,5.0,5.0,26.0,0.0,11.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,958
46.0,102.0,18.0,3.0,47.0,10.0,29.0,118.0,11.0,5.0,3.0,23.0,0.0,10.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32,777
35.0,30.0,8.0,1.0,14.0,8.0,6.0,50.0,6.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,289
28.0,37.0,9.0,0.0,23.0,11.0,14.0,32.0,3.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,273
51.0,124.0,10.0,0.0,29.0,15.0,24.0,102.0,9.0,11.0,5.0,13.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,706
34.0,67.0,7.0,7.0,29.0,14.0,18.0,76.0,6.0,1.0,1.0,15.0,0.0,8.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,545
57.0,121.0,25.0,6.0,34.0,16.0,26.0,96.0,12.0,8.0,4.0,18.0,0.0,6.0,7.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,764
88.0,68.0,10.0,3.0,52.0,11.0,23.0,90.0,25.0,5.0,2.0,29.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,777
84.0,156.0,35.0,2.0,51.0,32.0,33.0,158.0,14.0,7.0,2.0,23.0,0.0,13.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1075
82.0,185.0,24.0,0.0,64.0,40.0,64.0,131.0,16.0,11.0,11.0,27.0,0.0,12.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1170
42.0,86.0,5.0,4.0,36.0,10.0,22.0,88.0,13.0,4.0,0.0,21.0,0.0,13.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,644
65.0,156.0,32.0,5.0,69.0,20.0,50.0,131.0,15.0,12.0,10.0,24.0,0.0,7.0,7.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
46.0,103.0,7.0,14.0,35.0,16.0,10.0,108.0,11.0,4.0,1.0,6.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,600
46.0,88.0,11.0,1.0,42.0,15.0,32.0,106.0,18.0,6.0,2.0,17.0,0.0,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,742
65.0,84.0,18.0,3.0,39.0,16.0,21.0,94.0,15.0,7.0,3.0,10.0,0.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
55.0,82.0,11.0,1.0,37.0,21.0,31.0,105.0,17.0,4.0,2.0,27.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,736
35.0,93.0,16.0,4.0,42.0,13.0,14.0,64.0,11.0,1.0,0.0,15.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,583
35.0,106.0,12.0,0.0,27.0,15.0,27.0,73.0,10.0,12.0,4.0,14.0,0.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,593
56.0,156.0,25.0,2.0,59.0,22.0,22.0,98.0,13.0,4.0,1.0,12.0,0.0,3.0,11.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,794
64.0,64.0,5.0,7.0,48.0,6.0,26.0,86.0,19.0,2.0,1.0,21.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,672
