NNS,VBP,NNP,VBD,NN,JJ,VBN,IN,NNPS,VBG,VBZ,VB,MD,CD,RB,DT,JJR,RBR,JJS,CC,FW,PRP,PDT,RP,WDT,WP$,WRB,UH,sentence_count,word_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9.0,0.0,37.0,3.0,40.0,14.0,1.0,2.0,0.0,4.0,2.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,179
35.0,3.0,65.0,17.0,87.0,49.0,10.0,0.0,2.0,6.0,4.0,15.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,511
65.0,4.0,176.0,30.0,148.0,87.0,16.0,7.0,6.0,20.0,12.0,32.0,2.0,2.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1103
56.0,4.0,128.0,17.0,134.0,69.0,21.0,7.0,2.0,20.0,3.0,21.0,0.0,8.0,25.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,37,953
74.0,7.0,171.0,31.0,178.0,105.0,19.0,10.0,4.0,22.0,19.0,32.0,0.0,4.0,17.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,1162
12.0,1.0,18.0,4.0,29.0,27.0,6.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8,204
34.0,2.0,123.0,4.0,95.0,55.0,22.0,6.0,0.0,16.0,7.0,29.0,5.0,4.0,29.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,775
56.0,1.0,86.0,18.0,108.0,58.0,20.0,13.0,1.0,20.0,2.0,19.0,0.0,4.0,27.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35,793
12.0,1.0,72.0,16.0,54.0,23.0,5.0,3.0,1.0,9.0,6.0,17.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12,391
37.0,4.0,68.0,10.0,53.0,29.0,11.0,3.0,1.0,5.0,0.0,18.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,437
41.0,1.0,120.0,18.0,95.0,64.0,8.0,4.0,0.0,15.0,6.0,26.0,2.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27,711
36.0,2.0,115.0,14.0,93.0,45.0,17.0,5.0,6.0,18.0,8.0,22.0,5.0,4.0,24.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,748
26.0,3.0,30.0,10.0,46.0,25.0,8.0,1.0,1.0,9.0,2.0,20.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,348
56.0,0.0,168.0,20.0,97.0,54.0,11.0,3.0,2.0,22.0,8.0,22.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,784
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
27.0,1.0,39.0,19.0,84.0,26.0,6.0,0.0,0.0,11.0,3.0,13.0,3.0,5.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,419
60.0,5.0,179.0,8.0,146.0,65.0,16.0,6.0,0.0,18.0,11.0,34.0,2.0,8.0,24.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,990
29.0,5.0,44.0,4.0,48.0,16.0,6.0,1.0,1.0,5.0,1.0,9.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,307
22.0,1.0,66.0,10.0,51.0,36.0,9.0,0.0,1.0,13.0,1.0,11.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,380
